,product,reviews_number,title,positive,negative,neutral,positive_percent,negative_percent,neutral_percent
959,B073ZNZ2JD,11,"AmazonBasics - Stazione di ricarica in alluminio per controller per Xbox One, Xbox One S e Xbox One X, Nero",11.0,0.0,0.0,1.0,0.0,0.0
960,B0741TMK35,88,Pirati dei Caraibi Collection,78.0,4.0,6.0,0.8863636363636364,0.045454545454545456,0.06818181818181818
961,B0742MRL7B,5,Odisea,5.0,0.0,0.0,1.0,0.0,0.0
962,B0743C174K,253,Assassin's Creed Origins - Limited Edition [Esclusiva Amazon] - PlayStation 4,228.0,13.0,12.0,0.9011857707509882,0.05138339920948617,0.04743083003952569
963,B0743D6GQT,1,Overwatch Game of the Year Edition - PlayStation 4 [Edizione: Regno Unito],1.0,0.0,0.0,1.0,0.0,0.0
964,B0746PN4PZ,198,"Nacon Revolution Pro Controller 2, Nero - PlayStation 4",118.0,61.0,19.0,0.5959595959595959,0.30808080808080807,0.09595959595959595
965,B0746PN4Q1,6,"Nacon Revolution Pro Controller, Argento - Classics - PlayStation 4",4.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
966,B0746QG2FD,41,"Nacon Compact Controller, Nero - PlayStation 4",34.0,4.0,3.0,0.8292682926829268,0.0975609756097561,0.07317073170731707
967,B0746R8TKN,130,"Nacon Compact Controller, Blu - PlayStation 4",81.0,32.0,17.0,0.6230769230769231,0.24615384615384617,0.13076923076923078
968,B0746RP15K,15,Lego Ninjago Il Film Videogame - Nintendo Switch,13.0,0.0,2.0,0.8666666666666667,0.0,0.13333333333333333
969,B0746RPQLB,64,"Nacon Compact Controller Luminosi, Blu - Classics - PlayStation 4",52.0,5.0,7.0,0.8125,0.078125,0.109375
